fips_code,county_name,factor1_score,factor1_decile,factor1_quintile,tech_tablet,tech_smartphone,tech_desklaptop,hb_smoking,hb_alcohol,hb_active,hb_inactive,hb_fv_high,hb_fv_low,hb_obese_percent,oc_good_health,oc_poor_physicalhealth,oc_poor_mentalhealth,dem_women,dem_hispanic,dem_age,dem_veteran,food_desert,walkabilitiy,transit_distance,urban_rural,state,county_code
85118,Pinal,12502.705,7,4,70.309998,81.550003,88.870003,46.5,17.700001,20.4,28,14.7,14.9,29.9,49.299999,16.6,10.7,52.290001,5.9400001,66,14.43,0,4.8699999,,1,AZ,4021
85119,Pinal,10702.491,6,3,62.18,81.709999,81.82,44.099998,19.799999,21.200001,27.299999,14.9,15.6,29.299999,50.700001,15.2,11.5,53.93,14.58,55,14.8,0,7.018889,,1,AZ,4021
85120,Pinal,8231.4121,3,2,53.599998,76.870003,75.550003,43.900002,19.1,21.1,27.9,14.9,15.6,28.9,49.900002,15.3,11.2,51.400002,16.959999,56,13.4,0,8.1745453,,1,AZ,4021
85121,Maricopa,2898.6125,1,1,26.799999,47.240002,30.82,51,21.299999,20.9,33.599998,14.5,25.4,36.200001,34,21.799999,21.200001,43.040001,6.6199999,27,0,0,2.1666667,,1,AZ,4013
85122,Pinal,9846.668,5,3,62.029999,84.209999,74.129997,41.5,20.700001,19.6,30.4,13.9,19.5,31.299999,44.700001,15.2,13.2,49.59,45.93,35,9.3900003,2,7.2379999,,1,AZ,4021
85128,Pinal,9300.7441,4,2,56.619999,69.220001,73.910004,39.700001,21.799999,21.200001,28.799999,14.8,19.4,31.4,46.299999,14.5,13.5,50.27,41.560001,35,10.98,2,5.9746156,,4,AZ,4021
85131,Pinal,7499.916,2,1,46.970001,78.209999,56.34,38.299999,21.299999,21,30,13,23.5,32,43.099998,12.5,12.5,30.76,54,36,6.1599998,0,5.166923,,2,AZ,4021
85132,Pinal,10685.664,6,3,65.809998,84.080002,80.660004,43.5,22.5,22.4,27.700001,13.1,21.4,31.299999,47,13,13.2,32.669998,34.099998,38,9.0799999,0,4,,4,AZ,4021
85137,Pinal,10091.919,5,3,60.389999,81.699997,65.150002,43.799999,19.1,19,31.4,13.7,18.6,31.4,43.900002,16.700001,12.2,48.299999,39.360001,36,11.28,0,4.04,,10,AZ,4021
85138,Pinal,13951.284,8,4,77.160004,91.879997,88.639999,41.599998,23.299999,20.6,28,14.5,19,31.200001,49,13.4,14,52.279999,31.41,36,11.35,0,5.3515792,,2,AZ,4021
85139,Maricopa,11162.458,6,3,63.68,88.080002,79.099998,41.400002,22.799999,20.200001,29.1,14.1,19.9,31.9,46.599998,14.2,14.2,50.459999,28.950001,37,8.1899996,1,5.9050002,,2,AZ,4013
85140,Pinal,14021.274,8,4,77.290001,92.440002,89.830002,38.599998,25.299999,22.9,25.1,15.4,17.4,29.200001,53.700001,11.6,13.3,51.240002,20.719999,35,9.6700001,0,5.5974998,,1,AZ,4021
85141,Pinal,10834.365,6,3,47.98,82.080002,57.23,42.700001,21.700001,20.4,28.6,14,18.5,31,47.700001,14.6,13,45.509998,58.610001,51,11.46,0,3.9466667,,3,AZ,4021
85142,Maricopa,17499.895,10,5,78.980003,94.120003,92.610001,41,24.4,21.5,26.6,14.8,17.9,30.299999,51.700001,12.7,13.7,51.139999,21.620001,35,7.0100002,0,7,,1,AZ,4013
85143,Pinal,13349.025,8,4,73,90.980003,90.059998,39.599998,24.5,22.4,25.6,15.3,17.4,29.9,52.700001,12.2,13.2,51.630001,21.469999,37,10,2,5.09375,,1,AZ,4021
85145,Pinal,13706.545,8,4,72,93.790001,93.699997,42,22.799999,20.4,28.700001,14,19.200001,30.799999,47.900002,14,13.7,44.700001,21.139999,32,13.29,1,3.6700001,,3,AZ,4021
85147,Maricopa,4815.4634,1,1,28.690001,55.439999,29.01,50.700001,21.700001,22,32.5,15.2,24.5,35.799999,35.599998,21.4,20.5,43.240002,9,32,3.99,0,2.5825,,1,AZ,4013
